#{"t_start": 1772767812.3438518, "env_id": "marinenav_env-v0"}
r,l,t,is_success
-54.988057,25,81.01525,False
112.01416,27,81.080774,True
110.522664,22,81.139286,True
99.788179,43,81.236098,True
111.451597,25,81.295293,True
106.192188,27,81.356975,True
-48.922147,16,81.39609,False
76.724399,54,81.515606,True
-49.263925,16,81.556176,False
105.196025,24,81.615179,True
-57.537052,35,81.710371,False
92.941825,46,81.811868,True
106.884963,26,81.872431,True
106.722995,28,81.938408,True
101.483864,27,82.003532,True
109.327588,26,82.07459,True
-45.242479,21,82.124591,False
98.480805,31,82.196716,True
102.126677,37,82.283768,True
-47.91842,13,82.316767,False
104.889895,26,82.378946,True
113.687933,21,82.42895,True
106.469276,24,82.488463,True
102.960769,28,82.554984,True
100.464928,36,82.64099,True
-54.708966,16,82.680006,False
101.325038,50,82.794527,True
72.237712,57,82.925154,True
-54.103798,19,82.973675,False
107.663775,29,83.04522,True
-48.781345,16,83.08522,False
77.568546,55,83.212367,True
111.458098,30,83.283892,True
109.824477,28,83.353403,True
-58.391024,16,83.393405,False
-52.585185,13,83.430523,False
-42.40738,11,83.460303,False
-53.712763,17,83.504441,False
105.256612,28,83.594475,True
107.803953,22,83.649913,True
-46.361653,14,83.685914,False
81.243133,52,83.809445,True
-50.844625,16,83.850963,False
-46.694051,24,83.91296,False
-44.620655,7,83.932964,False
108.270413,36,84.02051,True
103.93005,34,84.103586,True
80.53996,56,84.253629,True
-48.032173,14,84.29264,False
-69.779449,32,84.375243,False
-50.743467,13,84.410813,False
-49.02253,9,84.436837,False
105.842535,32,84.517357,True
-51.62783,14,84.553883,False
98.817794,32,84.632893,True
101.866368,40,84.729671,True
100.527793,38,84.837197,True
109.185773,24,84.896607,True
108.507653,35,84.984135,True
-49.413043,19,85.033141,False
-48.598266,9,85.056634,False
103.744949,35,85.143674,True
117.61521,24,85.205197,True
-43.974584,10,85.232204,False
90.895497,38,85.329729,True
-48.636174,11,85.359238,False
-59.026618,31,85.440244,False
-42.725899,9,85.464756,False
94.230901,35,86.660183,True
95.904047,43,86.757279,True
-47.517836,13,86.790278,False
107.167137,23,86.841283,True
